fold,n_layer,layer_size,n_features,f_engineer,normalize,val_acc
4,2,64,1,1,1,92.63157895
4,2,64,1,0,1,91.57894737
4,2,64,2,1,1,85.61403509
4,2,64,2,0,1,87.19298246
4,2,64,4,1,1,80.70175439
4,2,64,4,0,1,85.26315789
4,2,128,1,1,1,91.92982456
4,2,128,1,0,1,90.87719298
4,2,128,2,1,1,83.50877193
4,2,128,2,0,1,86.66666667
4,2,128,4,1,1,81.05263158
4,2,128,4,0,1,81.92982456
4,3,2,1,1,1,94.56140351
4,3,2,1,0,1,94.56140351
4,3,2,2,1,1,93.50877193
4,3,2,2,0,1,94.38596491
4,3,2,4,1,1,94.21052632
4,3,2,4,0,1,92.45614035
4,3,4,1,1,1,93.68421053
4,3,4,1,0,1,92.63157895
4,3,4,2,1,1,93.33333333
4,3,4,2,0,1,94.03508772
4,3,4,4,1,1,93.50877193
4,3,4,4,0,1,93.85964912
4,3,8,1,1,1,92.98245614
4,3,8,1,0,1,92.98245614
4,3,8,2,1,1,94.56140351
4,3,8,2,0,1,90.87719298
4,3,8,4,1,1,90.70175439
4,3,8,4,0,1,85.96491228
4,3,16,1,1,1,92.45614035
4,3,16,1,0,1,93.50877193
4,3,16,2,1,1,85.78947368
4,3,16,2,0,1,87.19298246
4,3,16,4,1,1,81.22807018
4,3,16,4,0,1,84.9122807
4,3,32,1,1,1,82.28070175
4,3,32,1,0,1,93.15789474
4,3,32,2,1,1,78.59649123
4,3,32,2,0,1,84.56140351
4,3,32,4,1,1,79.12280702
4,3,32,4,0,1,79.8245614
4,3,64,1,1,1,83.85964912
4,3,64,1,0,1,91.57894737
4,3,64,2,1,1,79.64912281
4,3,64,2,0,1,79.8245614
4,3,64,4,1,1,77.01754386
4,3,64,4,0,1,78.24561404
4,3,128,1,1,1,78.42105263
4,3,128,1,0,1,79.64912281
4,3,128,2,1,1,76.14035088
4,3,128,2,0,1,72.80701754
4,3,128,4,1,1,74.9122807
4,3,128,4,0,1,74.9122807
5,1,2,1,1,1,88.75219684
5,1,2,1,0,1,88.75219684
5,1,2,2,1,1,88.22495606
5,1,2,2,0,1,90.15817223
5,1,2,4,1,1,89.27943761
5,1,2,4,0,1,89.27943761
5,1,4,1,1,1,88.40070299
5,1,4,1,0,1,88.92794376
5,1,4,2,1,1,89.27943761
5,1,4,2,0,1,89.80667838
5,1,4,4,1,1,87.87346221
5,1,4,4,0,1,88.04920914
5,1,8,1,1,1,88.04920914
5,1,8,1,0,1,89.27943761
5,1,8,2,1,1,89.27943761
5,1,8,2,0,1,88.22495606
5,1,8,4,1,1,89.27943761
5,1,8,4,0,1,90.33391916
5,1,16,1,1,1,89.10369069
5,1,16,1,0,1,90.15817223
5,1,16,2,1,1,91.75219684
5,1,16,2,0,1,85.41300527
5,1,16,4,1,1,87.52196837
5,1,16,4,0,1,87.17047452
5,1,32,1,1,1,89.98242531
5,1,32,1,0,1,90.15817223
5,1,32,2,1,1,85.23725835
5,1,32,2,0,1,86.29173989
5,1,32,4,1,1,83.4797891
5,1,32,4,0,1,87.34622144
5,1,64,1,1,1,88.75219684
5,1,64,1,0,1,89.27943761
5,1,64,2,1,1,84.53427065
5,1,64,2,0,1,87.69771529
5,1,64,4,1,1,84.53427065
5,1,64,4,0,1,87.87346221
5,1,128,1,1,1,88.75219684
5,1,128,1,0,1,89.63093146
5,1,128,2,1,1,85.94024605
5,1,128,2,0,1,85.76449912
5,1,128,4,1,1,85.5887522
5,1,128,4,0,1,86.11599297
5,2,2,1,1,1,91.03690685
5,2,2,1,0,1,91.21265378
5,2,2,2,1,1,88.40070299
5,2,2,2,0,1,91.21265378
5,2,2,4,1,1,90.15817223
