dataset,num_layers,layer_size,test_fold,test_ratio,stop_epoch,train_loss,val_loss,test_loss,time
cancer,3,1,2,0.3,429,2.052558898925781,1.886715054512024,2.6401143074035645,2.895609140396118
cancer,3,1,2,0.4,1364,2.116436719894409,1.833612322807312,2.6461918354034424,4.544448375701904
cancer,3,1,2,0.5,874,2.136146306991577,1.890785217285156,2.5248303413391118,3.315720796585083
cancer,1,4,2,0.3,403,0.9183476567268372,0.989191710948944,1.557448148727417,4.573510408401489
cancer,3,2,1,0.1,556,1.0670560598373413,1.514919638633728,1.2586904764175415,2.702380418777466
cancer,3,2,1,0.2,824,0.8992252945899963,1.3156195878982544,1.3177626132965088,3.386809825897217
cancer,3,2,1,0.3,990,0.8843367099761963,1.2702089548110962,1.336221694946289,3.805859088897705
cancer,3,2,1,0.4,1330,0.917493224143982,1.2093820571899414,1.3417956829071045,5.374698638916016
cancer,3,2,1,0.5,815,0.8808226585388184,1.249348521232605,1.2767441272735596,4.16341757774353
cancer,3,2,2,0.1,738,1.0263253450393677,1.3707584142684937,1.6305476427078247,3.9275503158569336
cancer,3,2,2,0.2,769,1.0672982931137085,1.0277224779129028,1.621151328086853,4.011711835861206
cancer,3,2,2,0.3,786,1.0129220485687256,1.2366467714309692,1.5769678354263306,4.185984373092651
cancer,3,2,2,0.4,798,1.0251400470733645,1.1976470947265625,1.6039031744003296,3.758648872375488
cancer,3,2,2,0.5,708,1.0337791442871094,1.1859865188598633,1.5309768915176392,3.8224806785583496
cancer,1,4,2,0.4,386,0.9012041091918944,1.0535627603530884,1.3766882419586182,2.1811459064483643
cancer,3,4,1,0.1,1444,1.1161144971847534,1.845616340637207,1.5627275705337524,5.316589117050171
cancer,3,4,1,0.2,911,1.318490505218506,1.8339433670043943,1.7725330591201782,4.0747010707855225
cancer,3,4,1,0.3,1128,1.1832971572875977,1.8137595653533936,1.732084035873413,4.596134901046753
cancer,3,4,1,0.4,1701,1.0529073476791382,1.5929198265075684,1.5169967412948608,5.857078552246094
cancer,3,4,1,0.5,1788,0.9957399368286132,1.565575361251831,1.4592150449752808,6.099351644515991
cancer,3,4,2,0.1,2740,0.8882346749305725,1.3715661764144895,1.7011470794677734,8.274151086807251
cancer,3,4,2,0.2,2984,0.934950590133667,0.9317110180854796,1.6176315546035769,8.638224124908447
cancer,3,4,2,0.3,2998,0.9087281823158264,1.1925787925720217,1.564025640487671,8.840327978134155
cancer,3,4,2,0.4,559,0.8994291424751282,1.0621349811553955,1.389177918434143,3.59143328666687
cancer,3,4,2,0.5,610,0.8853735327720642,1.024369716644287,1.3640248775482178,3.349799633026123
cancer,1,4,2,0.5,438,0.8875850439071655,1.01284658908844,1.449059247970581,2.2723701000213623
cancer,3,8,1,0.1,255,0.8374447226524353,1.5893666744232178,1.3245819807052612,2.7351267337799072
cancer,3,8,1,0.2,200,0.8433298468589783,1.3173601627349854,1.348987102508545,2.334413766860962
cancer,3,8,1,0.3,336,0.7140384912490845,1.2909687757492063,1.394640564918518,1.9881439208984373
cancer,3,8,1,0.4,219,0.8448282480239868,1.2814832925796509,1.3120654821395874,1.8165650367736816
cancer,3,8,1,0.5,378,0.6403549313545227,1.311637282371521,1.3771401643753052,2.1141366958618164
cancer,3,8,2,0.1,332,0.8953916430473328,1.0054107904434204,1.6140958070755005,2.123265027999878
cancer,3,8,2,0.2,243,0.9822974801063538,0.9443252682685852,1.5385429859161377,1.756014108657837
cancer,3,8,2,0.3,361,0.8680047988891602,1.0423588752746582,1.6534382104873655,2.0595688819885254
cancer,3,8,2,0.4,360,0.8770225644111633,1.114610195159912,1.337785720825195,2.012267589569092
cancer,3,8,2,0.5,339,0.8425849080085754,1.088828444480896,1.4955109357833862,2.286053419113159
cancer,1,1,1,0.4,0,2.2139673233032227,2.393975019454956,2.295862913131714,4.519073247909546
cancer,1,8,1,0.1,78,1.009296417236328,1.5847047567367554,1.3045846223831177,1.5805175304412842
cancer,3,16,1,0.1,118,0.7835834622383118,1.606260061264038,1.3412014245986938,1.6970622539520264
cancer,3,16,1,0.2,167,0.7047412395477295,1.3010460138320925,1.4021637439727783,1.8374085426330569
cancer,3,16,1,0.3,190,0.6924168467521667,1.3160275220870972,1.4324806928634644,1.9325697422027588
cancer,3,16,1,0.4,113,0.7589368224143982,1.2488726377487185,1.3128466606140137,1.6842846870422363
cancer,3,16,1,0.5,127,0.6594603657722473,1.232417106628418,1.3977210521697998,1.7576806545257568
cancer,3,16,2,0.1,187,0.8087417483329773,0.9931847453117372,1.6201086044311523,1.9195704460144043
cancer,3,16,2,0.2,262,0.6801345944404602,0.8448828458786011,1.584511399269104,1.9635071754455569
cancer,3,16,2,0.3,227,0.6842788457870483,0.9904679656028748,1.5755980014801023,1.9566895961761477
cancer,3,16,2,0.4,306,0.6752211451530457,1.0491713285446167,1.4721771478652954,2.047855854034424
cancer,3,16,2,0.5,225,0.6371868848800659,0.9884341955184937,1.4613360166549685,1.8155555725097656
cancer,1,8,1,0.2,220,0.9321315884590148,1.2515335083007812,1.2829095125198364,1.8661458492279053
cancer,3,32,1,0.1,116,0.7484645843505859,1.561304211616516,1.352230191230774,1.6441690921783447
cancer,3,32,1,0.2,99,0.8277403712272644,1.245200753211975,1.3526049852371216,1.5873918533325195
cancer,3,32,1,0.3,93,0.8162071704864502,1.2703526020050049,1.350895881652832,3.614108085632324
cancer,3,32,1,0.4,78,0.848468542098999,1.1985944509506226,1.302945613861084,3.518744945526123
cancer,3,32,1,0.5,95,0.7639975547790527,1.1713008880615234,1.31817889213562,3.5811383724212646
cancer,3,32,2,0.1,197,0.7298961281776428,0.9681063294410706,1.647331714630127,3.9116439819335938
cancer,3,32,2,0.2,199,0.7235509753227234,0.8342137336730957,1.6283830404281616,2.16211485862732
cancer,3,32,2,0.3,162,0.7028892636299133,0.9617886543273926,1.7014110088348389,2.0240366458892822
cancer,3,32,2,0.4,148,0.7249104976654053,1.0334713459014893,1.4759844541549685,1.9757053852081297
cancer,3,32,2,0.5,212,0.6443584561347961,1.0054537057876587,1.458693504333496,2.1512277126312256
cancer,1,8,1,0.3,294,0.8541926145553589,1.266005277633667,1.3204559087753296,2.0052309036254883
cancer,3,64,1,0.1,24,0.8104791641235352,1.5139306783676147,1.3419207334518433,1.7519481182098389
cancer,3,64,1,0.2,26,0.8058373928070068,1.2316454648971558,1.332833766937256,1.7233242988586426
cancer,3,64,1,0.3,47,0.731360137462616,1.2537113428115845,1.3148906230926514,1.7887730598449707
cancer,3,64,1,0.4,48,0.7487702965736389,1.1970019340515137,1.2079033851623535,1.8177132606506348
cancer,3,64,1,0.5,73,0.6348864436149597,1.171971321105957,1.292034149169922,1.8900690078735352
cancer,3,64,2,0.1,128,0.6745258569717407,1.0257059335708618,1.7503503561019895,2.237101793289185
